"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout";"M1_A_S";"M2_A_S";"M3_A_S"
"4522";"S129210_1H11V12";"Odolena Voda";"Liberec";"S";5;6;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4523";"S129210_1H12V12";"Odolena Voda";"Liberec";"S";5;6;4491;"RegularGame";36,445324683908;0,4164149;100;63,554675316092;21,913185316092
"4524";"S129210_1H13V12";"Odolena Voda";"Liberec";"S";5;6;4491;"RegularGame";36,445324683908;0,4128309;100;63,554675316092;22,271585316092
"4525";"S129210_1H14V13";"Liberec";"Odolena Voda";"S";5;5;4406;"RegularGame";34,4974345180723;0;100;65,5025654819277;65,5025654819277
"4526";"S129210_1H14V14";"Liberec";"Odolena Voda";"R";5;5;4406;"RegularGame";34,4974345180723;0,347362;0;-34,4974345180723;30,7663654819277
"4527";"S129210_1H15V14";"Odolena Voda";"Liberec";"R";4;5;4535;"RegularGame";34,1954444827586;1;0;-34,1954444827586;-34,1954444827586
"4528";"S129210_1H16V15";"Odolena Voda";"Liberec";"R";3;4;4366;"RegularGame";35,2362233333333;0,4850044;0;-35,2362233333333;16,2633366666667
"4529";"S129210_1H16V16";"Liberec";"Odolena Voda";"R";3;3;4389;"RegularGame";34,5634869109948;1;0;-34,5634869109948;-34,5634869109948
"4530";"S129210_1H17V16";"Odolena Voda";"Liberec";"S";2;3;4340;"RegularGame";33,2253938589212;0,6467072;100;66,7746061410788;2,1038861410788
"4531";"S129210_1H18V16";"Odolena Voda";"Liberec";"R";2;3;4340;"RegularGame";33,2253938589212;1;0;-33,2253938589212;-33,2253938589212
"4532";"S129210_1H19V17";"Odolena Voda";"Liberec";"S";1;2;4341;"RegularGame";31,5980556796116;0;100;68,4019443203884;68,4019443203884
"4533";"S129210_1H20V17";"Odolena Voda";"Liberec";"R";1;2;4341;"LeadingInTightEndgame";31,5980556796116;1;0;-31,5980556796116;-31,5980556796116
"4534";"S129210_1H21V19";"Odolena Voda";"Liberec";"S";6;1;4469;"LeadingInTightEndgame";31,717183;0,1669142;100;68,282817;51,591397
"4535";"S129210_1H22V19";"Odolena Voda";"Liberec";"S";6;1;4469;"LeadingInTightEndgame";31,717183;0;100;68,282817;68,282817
"4536";"S129210_1H23V20";"Liberec";"Odolena Voda";"R";6;6;4528;"LosingInTightEndgame";33,6192450364963;0,4164149;0;-33,6192450364963;24,7392649635037
"4537";"S129210_1H24V20";"Odolena Voda";"Liberec";"R";5;6;4491;"RegularGame";36,445324683908;1;0;-36,445324683908;-36,445324683908
"4538";"S129210_2H0V0";"Liberec";"Odolena Voda";"S";1;1;4390;"RegularGame";36,4075820930233;0,4164149;100;63,5924179069767;21,9509279069767
"4539";"S129210_2H1V2";"Liberec";"Odolena Voda";"R";6;6;4528;"RegularGame";33,6192450364963;1;0;-33,6192450364963;-33,6192450364963
"4540";"S129210_2H2V2";"Odolena Voda";"Liberec";"R";5;6;4491;"RegularGame";36,445324683908;0,6273647;0;-36,445324683908;0,818205316092005
"4541";"S129210_2H2V3";"Liberec";"Odolena Voda";"R";5;5;4406;"RegularGame";34,4974345180723;0,557645;0;-34,4974345180723;9,7380654819277
"4542";"S129210_2H3V3";"Odolena Voda";"Liberec";"R";4;5;4535;"RegularGame";34,1954444827586;0,3687095;0;-34,1954444827586;28,9336055172414
"4543";"S129210_2H3V4";"Liberec";"Odolena Voda";"R";4;4;4405;"RegularGame";32,2082841666667;0,3911173;0;-32,2082841666667;28,6799858333333
"4544";"S129210_2H4V4";"Odolena Voda";"Liberec";"R";3;4;4366;"RegularGame";35,2362233333333;0,575266;0;-35,2362233333333;7,2371766666667
"4545";"S129210_2H5V5";"Odolena Voda";"Liberec";"R";2;3;4340;"RegularGame";33,2253938589212;0,3776303;0;-33,2253938589212;29,0115761410788
"4546";"S129210_2H5V6";"Liberec";"Odolena Voda";"R";2;2;4426;"RegularGame";35,6419255208333;1;0;-35,6419255208333;-35,6419255208333
"4547";"S129210_2H6V6";"Odolena Voda";"Liberec";"S";1;2;4341;"RegularGame";31,5980556796116;0;100;68,4019443203884;68,4019443203884
"4548";"S129210_2H7V6";"Odolena Voda";"Liberec";"S";1;2;4341;"RegularGame";31,5980556796116;0,4164149;100;68,4019443203884;26,7604543203884
"4549";"S129210_2H8V6";"Odolena Voda";"Liberec";"R";1;2;4341;"RegularGame";31,5980556796116;1;0;-31,5980556796116;-31,5980556796116
"4550";"S129210_2H8V7";"Liberec";"Odolena Voda";"R";1;1;4390;"RegularGame";36,4075820930233;0,4164149;0;-36,4075820930233;21,9509279069767
"4551";"S129210_2H9V7";"Odolena Voda";"Liberec";"R";6;1;4469;"RegularGame";31,717183;0,492644;0;-31,717183;19,018417
"4552";"S129210_2H9V8";"Liberec";"Odolena Voda";"R";6;6;4528;"RegularGame";33,6192450364963;0,4164149;0;-33,6192450364963;24,7392649635037
"4553";"S129210_2H10V8";"Odolena Voda";"Liberec";"R";5;6;4491;"RegularGame";36,445324683908;1;0;-36,445324683908;-36,445324683908
"4554";"S129210_2H11V9";"Odolena Voda";"Liberec";"R";4;5;4535;"RegularGame";34,1954444827586;1;0;-34,1954444827586;-34,1954444827586
"4555";"S129210_2H11V10";"Liberec";"Odolena Voda";"R";4;4;4405;"RegularGame";32,2082841666667;1;0;-32,2082841666667;-32,2082841666667
"4556";"S129210_2H12V10";"Odolena Voda";"Liberec";"R";3;4;4366;"RegularGame";35,2362233333333;1;0;-35,2362233333333;-35,2362233333333
"4557";"S129210_2H12V11";"Liberec";"Odolena Voda";"R";3;3;4389;"RegularGame";34,5634869109948;1;0;-34,5634869109948;-34,5634869109948
"4558";"S129210_2H13V11";"Odolena Voda";"Liberec";"R";2;3;4340;"RegularGame";33,2253938589212;1;0;-33,2253938589212;-33,2253938589212
"4559";"S129210_2H13V12";"Liberec";"Odolena Voda";"R";2;2;4426;"RegularGame";35,6419255208333;1;0;-35,6419255208333;-35,6419255208333
"4560";"S129210_2H14V12";"Odolena Voda";"Liberec";"S";1;2;4341;"RegularGame";31,5980556796116;0;100;68,4019443203884;68,4019443203884
"4561";"S129210_2H15V12";"Odolena Voda";"Liberec";"R";1;2;4341;"RegularGame";31,5980556796116;0,6773472;0;-31,5980556796116;0,667224320388389
"4562";"S129210_2H16V13";"Odolena Voda";"Liberec";"R";6;1;4469;"RegularGame";31,717183;1;0;-31,717183;-31,717183
"4563";"S129210_2H16V14";"Liberec";"Odolena Voda";"S";6;6;4528;"RegularGame";33,6192450364963;0,4302133;100;66,3807549635037;23,3594249635037
"4564";"S129210_2H16V15";"Liberec";"Odolena Voda";"R";6;6;4528;"RegularGame";33,6192450364963;0,4850044;0;-33,6192450364963;17,8803149635037
"4565";"S129210_2H17V15";"Odolena Voda";"Liberec";"S";5;6;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4566";"S129210_2H18V15";"Odolena Voda";"Liberec";"R";5;6;4491;"RegularGame";36,445324683908;1;0;-36,445324683908;-36,445324683908
"4567";"S129210_2H18V16";"Liberec";"Odolena Voda";"R";5;5;4406;"RegularGame";34,4974345180723;1;0;-34,4974345180723;-34,4974345180723
"4568";"S129210_2H19V16";"Odolena Voda";"Liberec";"R";4;5;4535;"RegularGame";34,1954444827586;1;0;-34,1954444827586;-34,1954444827586
"4569";"S129210_2H19V17";"Liberec";"Odolena Voda";"R";4;4;4405;"RegularGame";32,2082841666667;1;0;-32,2082841666667;-32,2082841666667
"4570";"S129210_2H20V17";"Odolena Voda";"Liberec";"R";3;4;4366;"LeadingInTightEndgame";35,2362233333333;1;0;-35,2362233333333;-35,2362233333333
"4571";"S129210_2H20V18";"Liberec";"Odolena Voda";"R";3;3;4387;"LosingInTightEndgame";37,9179491935484;0,3687095;0;-37,9179491935484;25,2111008064516
"4572";"S129210_2H21V18";"Odolena Voda";"Liberec";"R";2;3;4340;"LeadingInTightEndgame";33,2253938589212;0,4164149;0;-33,2253938589212;25,1331161410788
"4573";"S129210_2H21V19";"Liberec";"Odolena Voda";"R";2;2;4426;"LeadingInTightEndgame";35,6419255208333;1;0;-35,6419255208333;-35,6419255208333
"4574";"S129210_2H22V20";"Liberec";"Odolena Voda";"R";1;1;4390;"LeadingInTightEndgame";36,4075820930233;0,6467072;0;-36,4075820930233;-1,0783020930233
"4575";"S129210_2H23V21";"Liberec";"Odolena Voda";"S";6;6;4528;"LeadingInTightEndgame";33,6192450364963;0;100;66,3807549635037;66,3807549635037
"4576";"S129210_2H23V22";"Liberec";"Odolena Voda";"R";6;6;4528;"LeadingInTightEndgame";33,6192450364963;0,4588627;0;-33,6192450364963;20,4944849635037
"4577";"S129210_2H24V22";"Odolena Voda";"Liberec";"S";5;6;4491;"LosingInTightEndgame";36,445324683908;0,575266;100;63,554675316092;6,028075316092
"4578";"S129210_3H0V0";"Odolena Voda";"Liberec";"R";6;5;4469;"RegularGame";31,717183;1;0;-31,717183;-31,717183
"4579";"S129210_3H0V1";"Liberec";"Odolena Voda";"R";4;6;4405;"RegularGame";32,2082841666667;1;0;-32,2082841666667;-32,2082841666667
"4580";"S129210_3H1V2";"Liberec";"Odolena Voda";"S";3;5;4387;"RegularGame";37,9179491935484;0,557645;100;62,0820508064516;6,3175508064516
"4581";"S129210_3H1V3";"Liberec";"Odolena Voda";"S";3;5;4387;"RegularGame";37,9179491935484;0,4164149;100;62,0820508064516;20,4405608064516
"4582";"S129210_3H1V4";"Liberec";"Odolena Voda";"R";3;5;4387;"RegularGame";37,9179491935484;1;0;-37,9179491935484;-37,9179491935484
"4583";"S129210_3H2V5";"Liberec";"Odolena Voda";"S";2;4;4426;"RegularGame";35,6419255208333;0;100;64,3580744791667;64,3580744791667
"4584";"S129210_3H2V6";"Liberec";"Odolena Voda";"R";2;4;4426;"RegularGame";35,6419255208333;1;0;-35,6419255208333;-35,6419255208333
"4585";"S129210_3H3V6";"Odolena Voda";"Liberec";"R";3;2;4366;"RegularGame";35,2362233333333;1;0;-35,2362233333333;-35,2362233333333
"4586";"S129210_3H3V7";"Liberec";"Odolena Voda";"R";1;3;4390;"RegularGame";36,4075820930233;1;0;-36,4075820930233;-36,4075820930233
"4587";"S129210_3H4V7";"Odolena Voda";"Liberec";"R";2;1;4340;"RegularGame";33,2253938589212;1;0;-33,2253938589212;-33,2253938589212
"4588";"S129210_3H4V8";"Liberec";"Odolena Voda";"R";6;2;4528;"RegularGame";33,6192450364963;1;0;-33,6192450364963;-33,6192450364963
"4589";"S129210_3H5V8";"Odolena Voda";"Liberec";"R";1;6;4341;"RegularGame";31,5980556796116;1;0;-31,5980556796116;-31,5980556796116
"4590";"S129210_3H5V9";"Liberec";"Odolena Voda";"S";5;1;4406;"RegularGame";34,4974345180723;0,3753631;100;65,5025654819277;27,9662554819277
"4591";"S129210_3H5V10";"Liberec";"Odolena Voda";"S";5;1;4406;"RegularGame";34,4974345180723;0,4663302;100;65,5025654819277;18,8695454819277
"4592";"S129210_3H5V11";"Liberec";"Odolena Voda";"R";5;1;4406;"RegularGame";34,4974345180723;1;0;-34,4974345180723;-34,4974345180723
"4593";"S129210_3H6V11";"Odolena Voda";"Liberec";"S";6;5;4469;"RegularGame";31,717183;0,2151261;100;68,282817;46,770207
"4594";"S129210_3H7V11";"Odolena Voda";"Liberec";"S";6;5;4469;"RegularGame";31,717183;0;100;68,282817;68,282817
"4595";"S129210_3H8V11";"Odolena Voda";"Liberec";"S";6;5;4469;"RegularGame";31,717183;0,2142572;100;68,282817;46,857097
"4596";"S129210_3H9V11";"Odolena Voda";"Liberec";"R";6;5;4469;"RegularGame";31,717183;0,4157516;0;-31,717183;26,707657
"4597";"S129210_3H9V12";"Liberec";"Odolena Voda";"R";4;6;4405;"RegularGame";32,2082841666667;0,6376087;0;-32,2082841666667;4,0308458333333
"4598";"S129210_3H10V12";"Odolena Voda";"Liberec";"R";5;4;4491;"RegularGame";36,445324683908;1;0;-36,445324683908;-36,445324683908
"4599";"S129210_3H14V19";"Liberec";"Odolena Voda";"S";6;2;4528;"RegularGame";33,6192450364963;0,2142572;100;66,3807549635037;44,9550349635037
"4600";"S129210_3H14V20";"Liberec";"Odolena Voda";"S";6;2;4528;"RegularGame";33,6192450364963;0,4850044;100;66,3807549635037;17,8803149635037
"4601";"S129210_3H14V21";"Liberec";"Odolena Voda";"S";6;2;4528;"RegularGame";33,6192450364963;0,4128309;100;66,3807549635037;25,0976649635037
"4602";"S129210_3H14V22";"Liberec";"Odolena Voda";"R";6;2;4528;"RegularGame";33,6192450364963;1;0;-33,6192450364963;-33,6192450364963
"4603";"S129210_3H15V22";"Odolena Voda";"Liberec";"R";1;6;4341;"RegularGame";31,5980556796116;1;0;-31,5980556796116;-31,5980556796116
"4604";"S129210_3H15V23";"Liberec";"Odolena Voda";"R";5;1;4399;"RegularGame";33,3234052071006;0,3687095;0;-33,3234052071006;29,8056447928994
"4605";"S129210_4H0V0";"Liberec";"Odolena Voda";"S";5;1;4406;"RegularGame";34,4974345180723;0,700235;100;65,5025654819277;-4,5209345180723
"4606";"S129210_4H0V1";"Liberec";"Odolena Voda";"R";5;1;4406;"RegularGame";34,4974345180723;1;0;-34,4974345180723;-34,4974345180723
"4607";"S129210_4H1V1";"Odolena Voda";"Liberec";"R";6;5;4469;"RegularGame";31,717183;1;0;-31,717183;-31,717183
"4608";"S129210_4H1V2";"Liberec";"Odolena Voda";"R";4;6;4405;"RegularGame";32,2082841666667;0,3687095;0;-32,2082841666667;30,9207658333333
"4609";"S129210_4H2V2";"Odolena Voda";"Liberec";"S";5;4;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4610";"S129210_4H3V2";"Odolena Voda";"Liberec";"S";5;4;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4611";"S129210_4H4V2";"Odolena Voda";"Liberec";"S";5;4;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4612";"S129210_4H5V2";"Odolena Voda";"Liberec";"S";5;4;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4613";"S129210_4H6V2";"Odolena Voda";"Liberec";"S";5;4;4491;"RegularGame";36,445324683908;0;100;63,554675316092;63,554675316092
"4614";"S129210_4H7V2";"Odolena Voda";"Liberec";"R";5;4;4491;"RegularGame";36,445324683908;1;0;-36,445324683908;-36,445324683908
"4615";"S129210_4H7V3";"Liberec";"Odolena Voda";"S";3;5;4387;"RegularGame";37,9179491935484;0,3687095;100;62,0820508064516;25,2111008064516
"4616";"S129210_4H7V4";"Liberec";"Odolena Voda";"S";3;5;4387;"RegularGame";37,9179491935484;0;100;62,0820508064516;62,0820508064516
"4617";"S129210_4H7V5";"Liberec";"Odolena Voda";"R";3;5;4387;"RegularGame";37,9179491935484;0,3694937;0;-37,9179491935484;25,1326808064516
"4618";"S129210_4H8V5";"Odolena Voda";"Liberec";"S";4;3;4535;"RegularGame";34,1954444827586;0,2142572;100;65,8045555172414;44,3788355172414
"4619";"S129210_4H9V5";"Odolena Voda";"Liberec";"S";4;3;4535;"RegularGame";34,1954444827586;0,646903;100;65,8045555172414;1,11425551724139
"4620";"S129210_4H10V5";"Odolena Voda";"Liberec";"R";4;3;4535;"RegularGame";34,1954444827586;1;0;-34,1954444827586;-34,1954444827586
"4621";"S129210_4H10V6";"Liberec";"Odolena Voda";"S";2;4;4426;"RegularGame";35,6419255208333;0;100;64,3580744791667;64,3580744791667
