"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"6614";"S129218_3H15V13";"Beskydy";"Ceske Budejovice";"S";1;1;4494;"RegularGame";29,5360655084746;0
"6615";"S129218_3H16V13";"Beskydy";"Ceske Budejovice";"S";1;1;4494;"RegularGame";29,5360655084746;0,567105
"6616";"S129218_3H17V13";"Beskydy";"Ceske Budejovice";"S";1;1;4494;"RegularGame";29,5360655084746;0
"6617";"S129218_3H18V13";"Beskydy";"Ceske Budejovice";"R";1;1;4494;"RegularGame";29,5360655084746;1
"6618";"S129218_3H18V14";"Ceske Budejovice";"Beskydy";"R";6;1;4431;"RegularGame";38,4911839726027;1
"6619";"S129218_3H19V14";"Beskydy";"Ceske Budejovice";"R";6;6;4538;"RegularGame";32,6362573151751;NA
"6620";"S129218_3H19V15";"Ceske Budejovice";"Beskydy";"S";5;6;4433;"RegularGame";35,5975274025974;0,4775763
"6621";"S129218_3H19V16";"Ceske Budejovice";"Beskydy";"R";5;6;4433;"RegularGame";35,5975274025974;NA
"6622";"S129218_3H20V16";"Beskydy";"Ceske Budejovice";"S";5;5;4534;"RegularGame";29,3039722222222;0
"6623";"S129218_3H21V16";"Beskydy";"Ceske Budejovice";"R";5;5;4534;"RegularGame";29,3039722222222;1
"6624";"S129218_3H21V17";"Ceske Budejovice";"Beskydy";"R";4;5;4432;"RegularGame";34,4074596598639;NA
"6625";"S129218_3H22V17";"Beskydy";"Ceske Budejovice";"S";4;4;4490;"RegularGame";36,1858059302325;0,2025275
"6626";"S129218_3H23V17";"Beskydy";"Ceske Budejovice";"R";4;4;4490;"RegularGame";36,1858059302325;1
"6627";"S129218_3H23V18";"Ceske Budejovice";"Beskydy";"R";3;4;4516;"RegularGame";34,4600513422819;0,4128309
"6628";"S129218_3H24V18";"Beskydy";"Ceske Budejovice";"S";3;3;4539;"RegularGame";31,345942293578;0
"6629";"S129218_4H0V0";"Beskydy";"Ceske Budejovice";"R";1;2;4494;"RegularGame";29,5360655084746;1
"6630";"S129218_4H0V1";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"RegularGame";37,1341118122977;0,5720399
"6631";"S129218_4H0V2";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"RegularGame";37,1341118122977;0
"6632";"S129218_4H0V3";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"RegularGame";37,1341118122977;0,2151261
"6633";"S129218_4H0V4";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"RegularGame";37,1341118122977;0
"6634";"S129218_4H0V5";"Ceske Budejovice";"Beskydy";"R";1;1;4473;"RegularGame";37,1341118122977;1
"6635";"S129218_4H1V5";"Beskydy";"Ceske Budejovice";"R";6;1;4514;"RegularGame";32,120626509434;1
"6636";"S129218_4H1V6";"Ceske Budejovice";"Beskydy";"S";6;6;4431;"RegularGame";38,4911839726027;0,2142572
"6637";"S129218_4H1V7";"Ceske Budejovice";"Beskydy";"S";6;6;4431;"RegularGame";38,4911839726027;0
"6638";"S129218_4H1V8";"Ceske Budejovice";"Beskydy";"R";6;6;4431;"RegularGame";38,4911839726027;1
"6639";"S129218_4H2V9";"Ceske Budejovice";"Beskydy";"R";5;5;4433;"RegularGame";35,5975274025974;0,4597174
"6640";"S129218_4H3V9";"Beskydy";"Ceske Budejovice";"R";4;5;4490;"RegularGame";36,1858059302325;NA
"6641";"S129218_4H3V10";"Ceske Budejovice";"Beskydy";"S";4;4;4432;"RegularGame";34,4074596598639;0
"6642";"S129218_4H3V11";"Ceske Budejovice";"Beskydy";"R";4;4;4432;"RegularGame";34,4074596598639;NA
"6643";"S129218_4H4V11";"Beskydy";"Ceske Budejovice";"S";3;4;4539;"RegularGame";31,345942293578;0
"6644";"S129218_4H5V11";"Beskydy";"Ceske Budejovice";"R";3;4;4539;"RegularGame";31,345942293578;NA
"6645";"S129218_4H5V12";"Ceske Budejovice";"Beskydy";"R";3;3;4516;"RegularGame";34,4600513422819;NA
"6646";"S129218_4H7V13";"Ceske Budejovice";"Beskydy";"S";2;2;4472;"RegularGame";33,3739872027972;0
"6647";"S129218_4H7V14";"Ceske Budejovice";"Beskydy";"S";2;2;4472;"RegularGame";33,3739872027972;0
"6648";"S129218_4H7V15";"Ceske Budejovice";"Beskydy";"R";2;2;4472;"RegularGame";33,3739872027972;NA
"6649";"S129218_4H8V15";"Beskydy";"Ceske Budejovice";"R";1;2;4494;"RegularGame";29,5360655084746;1
"6650";"S129218_4H8V16";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"RegularGame";37,1341118122977;0,4140952
"6651";"S129218_4H8V17";"Ceske Budejovice";"Beskydy";"R";1;1;4473;"RegularGame";37,1341118122977;1
"6652";"S129218_4H9V17";"Beskydy";"Ceske Budejovice";"S";6;1;4538;"RegularGame";32,6362573151751;0
"6653";"S129218_4H10V17";"Beskydy";"Ceske Budejovice";"S";6;1;4538;"RegularGame";32,6362573151751;0
"6654";"S129218_4H11V17";"Beskydy";"Ceske Budejovice";"S";6;1;4538;"RegularGame";32,6362573151751;0,3411598
"6655";"S129218_4H12V17";"Beskydy";"Ceske Budejovice";"R";6;1;4538;"RegularGame";32,6362573151751;NA
"6656";"S129218_4H12V18";"Ceske Budejovice";"Beskydy";"R";6;6;4431;"RegularGame";38,4911839726027;0,4588627
"6657";"S129218_4H13V18";"Beskydy";"Ceske Budejovice";"R";5;6;4534;"RegularGame";29,3039722222222;NA
"6658";"S129218_4H13V19";"Ceske Budejovice";"Beskydy";"R";5;5;4433;"RegularGame";35,5975274025974;NA
"6659";"S129218_4H14V20";"Ceske Budejovice";"Beskydy";"R";4;4;4432;"RegularGame";34,4074596598639;NA
"6660";"S129218_4H15V20";"Beskydy";"Ceske Budejovice";"R";3;4;4539;"RegularGame";31,345942293578;NA
"6661";"S129218_4H15V21";"Ceske Budejovice";"Beskydy";"R";3;3;4516;"RegularGame";34,4600513422819;1
"6662";"S129218_4H16V22";"Ceske Budejovice";"Beskydy";"S";2;2;4472;"RegularGame";33,3739872027972;0
"6663";"S129218_4H16V23";"Ceske Budejovice";"Beskydy";"S";2;2;4472;"RegularGame";33,3739872027972;0
"6664";"S129218_4H16V24";"Ceske Budejovice";"Beskydy";"R";2;2;4472;"RegularGame";33,3739872027972;1
"6665";"S129218_4H17V24";"Beskydy";"Ceske Budejovice";"S";1;2;4494;"RegularGame";29,5360655084746;0
"6666";"S129218_4H18V24";"Beskydy";"Ceske Budejovice";"S";1;2;4494;"RegularGame";29,5360655084746;0,3776303
"6667";"S129218_4H19V24";"Beskydy";"Ceske Budejovice";"R";1;2;4494;"RegularGame";29,5360655084746;0,492644
"6668";"S129219_1H0V0";"Ostrava";"Kladno";"R";2;2;4507;"RegularGame";34,3557433227848;1
"6669";"S129219_1H1V0";"Kladno";"Ostrava";"S";1;2;4344;"RegularGame";37,6329701977401;0,4854297
"6670";"S129219_1H2V0";"Kladno";"Ostrava";"R";1;2;4344;"RegularGame";37,6329701977401;1
"6671";"S129219_1H2V1";"Ostrava";"Kladno";"R";1;1;4321;"RegularGame";33,975641122807;1
"6672";"S129219_1H3V1";"Kladno";"Ostrava";"S";6;1;4445;"RegularGame";34,9852440199335;0,492644
"6673";"S129219_1H4V1";"Kladno";"Ostrava";"S";6;1;4445;"RegularGame";34,9852440199335;0,3411598
"6674";"S129219_1H5V1";"Kladno";"Ostrava";"R";6;1;4445;"RegularGame";34,9852440199335;NA
"6675";"S129219_1H5V2";"Ostrava";"Kladno";"R";6;6;4508;"RegularGame";31,5618958510638;NA
